epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2276,1.07536,3.39679,2.56827,1.56626,0.28619,0.1869,0.2673,0.1222,0.07766,0.06122,0.07294,0.02107,1.71606,7.6841,2.56762,2.55589,0.000546847,0.000546847,0.000546847
2,23.9843,1.11344,2.92376,2.15069,1.60181,0.34169,0.47744,0.33467,0.12314,0.36114,0.43502,0.32006,0.08727,1.91927,4.62777,2.50701,2.86503,0.0010916,0.0010916,0.0010916
3,36.057,1.21673,3.08287,2.1661,1.67988,0.46707,0.35177,0.28597,0.1137,0.28009,0.1869,0.12929,0.03571,2.01777,5.67129,4.00932,3.03619,0.00162535,0.00162535,0.00162535
4,47.7333,1.24667,2.99654,2.10754,1.70623,0.33065,0.61762,0.35584,0.16158,0.22753,0.36955,0.22084,0.06011,1.65342,4.65126,2.33115,2.60944,0.00161749,0.00161749,0.00161749
5,59.3883,1.22362,2.89647,1.94467,1.67123,0.36082,0.5768,0.38036,0.1698,0.3367,0.47744,0.32742,0.10946,1.67073,3.90979,2.35228,2.83171,0.00160099,0.00160099,0.00160099
6,71.0376,1.2226,2.95064,1.8605,1.66816,0.43192,0.63645,0.51678,0.1914,0.43213,0.48335,0.43238,0.1425,1.8783,3.8393,2.19895,2.64705,0.00158448,0.00158448,0.00158448
7,82.5789,1.2056,2.88174,1.88745,1.65689,0.45729,0.34586,0.3778,0.129,0.45729,0.34586,0.35734,0.11973,1.89392,3.68859,2.23317,2.57492,0.00156798,0.00156798,0.00156798
8,94.0584,1.10707,2.77921,1.80394,1.57888,0.60708,0.64508,0.58931,0.27715,0.54707,0.56498,0.51279,0.2219,1.5806,3.58844,1.86697,2.55881,0.00155148,0.00155148,0.00155148
9,105.499,1.1346,2.84637,1.74196,1.63436,0.59391,0.56767,0.59044,0.32227,0.59733,0.55747,0.54243,0.25107,1.67047,3.45734,1.82408,2.59769,0.00153497,0.00153497,0.00153497
10,117.015,1.11657,2.72202,1.71206,1.58729,0.62472,0.68314,0.62458,0.33155,0.59088,0.64232,0.56321,0.26465,1.52705,3.30082,1.86016,2.41024,0.00151847,0.00151847,0.00151847
